,count,data_type,event,unk1,unk2,computed_value,computed_name,perf_time_start,arg.dataset,arg.dataset_path,arg.dataset_list,arg.data_format,arg.profile,arg.scenario,arg.max_batchsize,arg.model,arg.output,arg.inputs,arg.outputs,arg.backend,arg.model_name,arg.threads,arg.qps,arg.cache,arg.accuracy,arg.find_peak_performance,arg.debug,arg.mlperf_conf,arg.user_conf,arg.audit_conf,arg.time,arg.count,arg.performance_sample_count,arg.max_latency,arg.samples_per_query,arg.perf_events,hardware
0,1564210402,,L1-dcache-loads,1687858779,100,960.359,M/sec,"Thu Aug 11 12:20:38 2022
",coco-300,data/coco-300,None,NHWC,ssd-mobilenet-onnxruntime,Offline,32,models/ssd_mobilenet_v1_coco_2018_01_28.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/tf-cpu/resnet50,None,"['num_detections:0', 'detection_boxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-mobilenet,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
1,23801875,,L1-dcache-load-misses,1672160912,100,1.52,of all L1-dcache accesses,"Thu Aug 11 12:20:38 2022
",coco-300,data/coco-300,None,NHWC,ssd-mobilenet-onnxruntime,Offline,32,models/ssd_mobilenet_v1_coco_2018_01_28.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/tf-cpu/resnet50,None,"['num_detections:0', 'detection_boxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-mobilenet,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
2,836943,,dTLB-load-misses,1656532512,100,,,"Thu Aug 11 12:20:38 2022
",coco-300,data/coco-300,None,NHWC,ssd-mobilenet-onnxruntime,Offline,32,models/ssd_mobilenet_v1_coco_2018_01_28.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/tf-cpu/resnet50,None,"['num_detections:0', 'detection_boxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-mobilenet,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
3,836534,,dtlb_load_misses.miss_causes_a_walk,1641052865,100,513.596,K/sec,"Thu Aug 11 12:20:38 2022
",coco-300,data/coco-300,None,NHWC,ssd-mobilenet-onnxruntime,Offline,32,models/ssd_mobilenet_v1_coco_2018_01_28.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/tf-cpu/resnet50,None,"['num_detections:0', 'detection_boxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-mobilenet,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
4,1628.78,msec,task-clock,1628777103,100,1.625,CPUs utilized,"Thu Aug 11 12:20:38 2022
",coco-300,data/coco-300,None,NHWC,ssd-mobilenet-onnxruntime,Offline,32,models/ssd_mobilenet_v1_coco_2018_01_28.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/tf-cpu/resnet50,None,"['num_detections:0', 'detection_boxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-mobilenet,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
5,311,,context-switches,1619948480,100,190.941,/sec,"Thu Aug 11 12:20:38 2022
",coco-300,data/coco-300,None,NHWC,ssd-mobilenet-onnxruntime,Offline,32,models/ssd_mobilenet_v1_coco_2018_01_28.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/tf-cpu/resnet50,None,"['num_detections:0', 'detection_boxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-mobilenet,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
6,1,,cpu-migrations,1611154488,100,0.614,/sec,"Thu Aug 11 12:20:38 2022
",coco-300,data/coco-300,None,NHWC,ssd-mobilenet-onnxruntime,Offline,32,models/ssd_mobilenet_v1_coco_2018_01_28.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/tf-cpu/resnet50,None,"['num_detections:0', 'detection_boxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-mobilenet,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
7,28218,,page-faults,1602108295,100,17.325,K/sec,"Thu Aug 11 12:20:38 2022
",coco-300,data/coco-300,None,NHWC,ssd-mobilenet-onnxruntime,Offline,32,models/ssd_mobilenet_v1_coco_2018_01_28.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/tf-cpu/resnet50,None,"['num_detections:0', 'detection_boxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-mobilenet,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
0,389101144323,,cycles,146380064403,100,2.66,GHz,"Thu Aug 11 11:57:37 2022
",coco-1200-onnx,data/coco-1200,None,NCHW,ssd-resnet34-onnxruntime,Offline,1,models/ssd_resnet34_mAP_20.2.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/ssd-resnet34,['image:0'],"['detection_bboxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-resnet34,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"cycles,cache-references,cache-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
1,3094219777,,cache-references,146353464335,100,21.151,M/sec,"Thu Aug 11 11:57:37 2022
",coco-1200-onnx,data/coco-1200,None,NCHW,ssd-resnet34-onnxruntime,Offline,1,models/ssd_resnet34_mAP_20.2.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/ssd-resnet34,['image:0'],"['detection_bboxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-resnet34,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"cycles,cache-references,cache-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
