,i,j,k,method,bs,r,sample,p,event,count
0,64,64,12800,tiled,1048576,0.0033245979322709418,0,CFG_LL_TLB,L1-dcache-loads,2673850257
1,64,64,12800,tiled,1048576,0.0033245979322709418,0,CFG_LL_TLB,cache-misses,2136574
2,64,64,12800,tiled,1048576,0.0033245979322709418,0,CFG_LL_TLB,cache-references,24410422
3,64,64,12800,tiled,1048576,0.0033245979322709418,0,CFG_LL_TLB,context-switches,0
4,64,64,12800,tiled,1048576,0.0033245979322709418,0,CFG_LL_TLB,cpu-migrations,0
5,64,64,12800,tiled,1048576,0.0033245979322709418,0,CFG_LL_TLB,dTLB-load-misses,4500773
6,64,64,12800,tiled,1048576,0.0033245979322709418,0,CFG_LL_TLB,page-faults,0
7,64,64,12800,tiled,1048576,0.0033245979322709418,0,CFG_LL_TLB,task-clock,965554400
8,64,16,51200,tiled,1048576,0.004489251258218608,0,CFG_LL_TLB,L1-dcache-loads,2673869558
9,64,16,51200,tiled,1048576,0.004489251258218608,0,CFG_LL_TLB,cache-misses,22831928
10,64,16,51200,tiled,1048576,0.004489251258218608,0,CFG_LL_TLB,cache-references,29874962
11,64,16,51200,tiled,1048576,0.004489251258218608,0,CFG_LL_TLB,context-switches,0
12,64,16,51200,tiled,1048576,0.004489251258218608,0,CFG_LL_TLB,cpu-migrations,0
13,64,16,51200,tiled,1048576,0.004489251258218608,0,CFG_LL_TLB,dTLB-load-misses,7362056
14,64,16,51200,tiled,1048576,0.004489251258218608,0,CFG_LL_TLB,page-faults,0
15,64,16,51200,tiled,1048576,0.004489251258218608,0,CFG_LL_TLB,task-clock,2111399007
16,16,64,51200,tiled,1048576,0.5484416576121015,0,CFG_LL_TLB,L1-dcache-loads,2673874739
17,16,64,51200,tiled,1048576,0.5484416576121015,0,CFG_LL_TLB,cache-misses,6663876
18,16,64,51200,tiled,1048576,0.5484416576121015,0,CFG_LL_TLB,cache-references,63634730
19,16,64,51200,tiled,1048576,0.5484416576121015,0,CFG_LL_TLB,context-switches,0
20,16,64,51200,tiled,1048576,0.5484416576121015,0,CFG_LL_TLB,cpu-migrations,0
21,16,64,51200,tiled,1048576,0.5484416576121015,0,CFG_LL_TLB,dTLB-load-misses,11042326
22,16,64,51200,tiled,1048576,0.5484416576121015,0,CFG_LL_TLB,page-faults,0
23,16,64,51200,tiled,1048576,0.5484416576121015,0,CFG_LL_TLB,task-clock,1094910282
24,16,512,6400,tiled,1048576,0.7405684692262434,0,CFG_LL_TLB,L1-dcache-loads,2673903062
25,16,512,6400,tiled,1048576,0.7405684692262434,0,CFG_LL_TLB,cache-misses,128057
26,16,512,6400,tiled,1048576,0.7405684692262434,0,CFG_LL_TLB,cache-references,41852868
27,16,512,6400,tiled,1048576,0.7405684692262434,0,CFG_LL_TLB,context-switches,0
28,16,512,6400,tiled,1048576,0.7405684692262434,0,CFG_LL_TLB,cpu-migrations,0
29,16,512,6400,tiled,1048576,0.7405684692262434,0,CFG_LL_TLB,dTLB-load-misses,455484
30,16,512,6400,tiled,1048576,0.7405684692262434,0,CFG_LL_TLB,page-faults,0
31,16,512,6400,tiled,1048576,0.7405684692262434,0,CFG_LL_TLB,task-clock,718754198
32,64,16,51200,tiled,1048576,0.0013503140378698735,0,CFG_LL_TLB,L1-dcache-loads,2673779046
33,64,16,51200,tiled,1048576,0.0013503140378698735,0,CFG_LL_TLB,cache-misses,22025928
34,64,16,51200,tiled,1048576,0.0013503140378698735,0,CFG_LL_TLB,cache-references,28077573
35,64,16,51200,tiled,1048576,0.0013503140378698735,0,CFG_LL_TLB,context-switches,0
36,64,16,51200,tiled,1048576,0.0013503140378698735,0,CFG_LL_TLB,cpu-migrations,0
37,64,16,51200,tiled,1048576,0.0013503140378698735,0,CFG_LL_TLB,dTLB-load-misses,6900755
38,64,16,51200,tiled,1048576,0.0013503140378698735,0,CFG_LL_TLB,page-faults,0
39,64,16,51200,tiled,1048576,0.0013503140378698735,0,CFG_LL_TLB,task-clock,2094176906
40,128,512,800,tiled,1048576,0.001,0,CFG_LL_TLB,L1-dcache-loads,2674219579
41,128,512,800,tiled,1048576,0.001,0,CFG_LL_TLB,cache-misses,21512
42,128,512,800,tiled,1048576,0.001,0,CFG_LL_TLB,cache-references,32270546
43,128,512,800,tiled,1048576,0.001,0,CFG_LL_TLB,context-switches,0
44,128,512,800,tiled,1048576,0.001,0,CFG_LL_TLB,cpu-migrations,0
45,128,512,800,tiled,1048576,0.001,0,CFG_LL_TLB,dTLB-load-misses,2535
46,128,512,800,tiled,1048576,0.001,0,CFG_LL_TLB,page-faults,0
47,128,512,800,tiled,1048576,0.001,0,CFG_LL_TLB,task-clock,735974634
48,128,128,3200,tiled,1048576,0.0013503140378698735,0,CFG_LL_TLB,L1-dcache-loads,2673910734
49,128,128,3200,tiled,1048576,0.0013503140378698735,0,CFG_LL_TLB,cache-misses,61767
50,128,128,3200,tiled,1048576,0.0013503140378698735,0,CFG_LL_TLB,cache-references,34663328
51,128,128,3200,tiled,1048576,0.0013503140378698735,0,CFG_LL_TLB,context-switches,0
52,128,128,3200,tiled,1048576,0.0013503140378698735,0,CFG_LL_TLB,cpu-migrations,0
53,128,128,3200,tiled,1048576,0.0013503140378698735,0,CFG_LL_TLB,dTLB-load-misses,11114
54,128,128,3200,tiled,1048576,0.0013503140378698735,0,CFG_LL_TLB,page-faults,0
55,128,128,3200,tiled,1048576,0.0013503140378698735,0,CFG_LL_TLB,task-clock,758722376
56,512,16,6400,tiled,1048576,0.011052951411260215,0,CFG_LL_TLB,L1-dcache-loads,2673851189
57,512,16,6400,tiled,1048576,0.011052951411260215,0,CFG_LL_TLB,cache-misses,87085055
58,512,16,6400,tiled,1048576,0.011052951411260215,0,CFG_LL_TLB,cache-references,107561027
59,512,16,6400,tiled,1048576,0.011052951411260215,0,CFG_LL_TLB,context-switches,0
60,512,16,6400,tiled,1048576,0.011052951411260215,0,CFG_LL_TLB,cpu-migrations,0
61,512,16,6400,tiled,1048576,0.011052951411260215,0,CFG_LL_TLB,dTLB-load-misses,53976219
62,512,16,6400,tiled,1048576,0.011052951411260215,0,CFG_LL_TLB,page-faults,0
63,512,16,6400,tiled,1048576,0.011052951411260215,0,CFG_LL_TLB,task-clock,3537032775
64,16,16,204800,tiled,1048576,0.027213387683753074,0,CFG_LL_TLB,L1-dcache-loads,2673858502
65,16,16,204800,tiled,1048576,0.027213387683753074,0,CFG_LL_TLB,cache-misses,8441811
66,16,16,204800,tiled,1048576,0.027213387683753074,0,CFG_LL_TLB,cache-references,14663426
67,16,16,204800,tiled,1048576,0.027213387683753074,0,CFG_LL_TLB,context-switches,0
68,16,16,204800,tiled,1048576,0.027213387683753074,0,CFG_LL_TLB,cpu-migrations,0
69,16,16,204800,tiled,1048576,0.027213387683753074,0,CFG_LL_TLB,dTLB-load-misses,6054975
70,16,16,204800,tiled,1048576,0.027213387683753074,0,CFG_LL_TLB,page-faults,0
71,16,16,204800,tiled,1048576,0.027213387683753074,0,CFG_LL_TLB,task-clock,1099341325
72,128,16,25600,tiled,1048576,0.12216773489967918,0,CFG_LL_TLB,L1-dcache-loads,2673731550
73,128,16,25600,tiled,1048576,0.12216773489967918,0,CFG_LL_TLB,cache-misses,47058069
74,128,16,25600,tiled,1048576,0.12216773489967918,0,CFG_LL_TLB,cache-references,72765783
75,128,16,25600,tiled,1048576,0.12216773489967918,0,CFG_LL_TLB,context-switches,0
76,128,16,25600,tiled,1048576,0.12216773489967918,0,CFG_LL_TLB,cpu-migrations,0
77,128,16,25600,tiled,1048576,0.12216773489967918,0,CFG_LL_TLB,dTLB-load-misses,23312661
78,128,16,25600,tiled,1048576,0.12216773489967918,0,CFG_LL_TLB,page-faults,0
79,128,16,25600,tiled,1048576,0.12216773489967918,0,CFG_LL_TLB,task-clock,2741211635
80,512,64,1600,tiled,1048576,0.004489251258218608,0,CFG_LL_TLB,L1-dcache-loads,2674013091
81,512,64,1600,tiled,1048576,0.004489251258218608,0,CFG_LL_TLB,cache-misses,12007366
82,512,64,1600,tiled,1048576,0.004489251258218608,0,CFG_LL_TLB,cache-references,105098703
83,512,64,1600,tiled,1048576,0.004489251258218608,0,CFG_LL_TLB,context-switches,0
84,512,64,1600,tiled,1048576,0.004489251258218608,0,CFG_LL_TLB,cpu-migrations,0
85,512,64,1600,tiled,1048576,0.004489251258218608,0,CFG_LL_TLB,dTLB-load-misses,23642145
86,512,64,1600,tiled,1048576,0.004489251258218608,0,CFG_LL_TLB,page-faults,0
87,512,64,1600,tiled,1048576,0.004489251258218608,0,CFG_LL_TLB,task-clock,1547346647
88,16,128,25600,tiled,1048576,0.22275429519995563,0,CFG_LL_TLB,L1-dcache-loads,2673832584
89,16,128,25600,tiled,1048576,0.22275429519995563,0,CFG_LL_TLB,cache-misses,237945
90,16,128,25600,tiled,1048576,0.22275429519995563,0,CFG_LL_TLB,cache-references,24980095
91,16,128,25600,tiled,1048576,0.22275429519995563,0,CFG_LL_TLB,context-switches,0
92,16,128,25600,tiled,1048576,0.22275429519995563,0,CFG_LL_TLB,cpu-migrations,0
93,16,128,25600,tiled,1048576,0.22275429519995563,0,CFG_LL_TLB,dTLB-load-misses,1294694
94,16,128,25600,tiled,1048576,0.22275429519995563,0,CFG_LL_TLB,page-faults,0
95,16,128,25600,tiled,1048576,0.22275429519995563,0,CFG_LL_TLB,task-clock,721629367
96,512,128,800,tiled,1048576,1.0,0,CFG_LL_TLB,L1-dcache-loads,2674151564
97,512,128,800,tiled,1048576,1.0,0,CFG_LL_TLB,cache-misses,229398
98,512,128,800,tiled,1048576,1.0,0,CFG_LL_TLB,cache-references,105914190
99,512,128,800,tiled,1048576,1.0,0,CFG_LL_TLB,context-switches,0
100,512,128,800,tiled,1048576,1.0,0,CFG_LL_TLB,cpu-migrations,0
101,512,128,800,tiled,1048576,1.0,0,CFG_LL_TLB,dTLB-load-misses,16933
102,512,128,800,tiled,1048576,1.0,0,CFG_LL_TLB,page-faults,0
103,512,128,800,tiled,1048576,1.0,0,CFG_LL_TLB,task-clock,1052344915
104,128,128,3200,tiled,1048576,0.16496480740980207,0,CFG_LL_TLB,L1-dcache-loads,2673877828
105,128,128,3200,tiled,1048576,0.16496480740980207,0,CFG_LL_TLB,cache-misses,119487
106,128,128,3200,tiled,1048576,0.16496480740980207,0,CFG_LL_TLB,cache-references,65502098
