,i,j,k,method,bs,r,sample,p,event,count
0,1024,64,800,tiled,1024,0.7405684692262434,1,CFG_LL_TLB,L1-dcache-loads,2674194904
1,1024,64,800,tiled,1024,0.7405684692262434,1,CFG_LL_TLB,cache-misses,10375083
2,1024,64,800,tiled,1024,0.7405684692262434,1,CFG_LL_TLB,cache-references,102816037
3,1024,64,800,tiled,1024,0.7405684692262434,1,CFG_LL_TLB,context-switches,0
4,1024,64,800,tiled,1024,0.7405684692262434,1,CFG_LL_TLB,cpu-migrations,0
5,1024,64,800,tiled,1024,0.7405684692262434,1,CFG_LL_TLB,dTLB-load-misses,22312589
6,1024,64,800,tiled,1024,0.7405684692262434,1,CFG_LL_TLB,page-faults,0
7,1024,64,800,tiled,1024,0.7405684692262434,1,CFG_LL_TLB,task-clock,1509282791
8,1024,64,800,tiled,1024,0.03674661940736688,0,CFG_LL_TLB,L1-dcache-loads,2674211725
9,1024,64,800,tiled,1024,0.03674661940736688,0,CFG_LL_TLB,cache-misses,14022573
10,1024,64,800,tiled,1024,0.03674661940736688,0,CFG_LL_TLB,cache-references,102839734
11,1024,64,800,tiled,1024,0.03674661940736688,0,CFG_LL_TLB,context-switches,0
12,1024,64,800,tiled,1024,0.03674661940736688,0,CFG_LL_TLB,cpu-migrations,0
13,1024,64,800,tiled,1024,0.03674661940736688,0,CFG_LL_TLB,dTLB-load-misses,41615774
14,1024,64,800,tiled,1024,0.03674661940736688,0,CFG_LL_TLB,page-faults,0
15,1024,64,800,tiled,1024,0.03674661940736688,0,CFG_LL_TLB,task-clock,1664791545
16,1024,64,800,tiled,1024,0.0024620924014946257,0,CFG_LL_TLB,L1-dcache-loads,2674057443
17,1024,64,800,tiled,1024,0.0024620924014946257,0,CFG_LL_TLB,cache-misses,24223254
18,1024,64,800,tiled,1024,0.0024620924014946257,0,CFG_LL_TLB,cache-references,104886456
19,1024,64,800,tiled,1024,0.0024620924014946257,0,CFG_LL_TLB,context-switches,0
20,1024,64,800,tiled,1024,0.0024620924014946257,0,CFG_LL_TLB,cpu-migrations,0
21,1024,64,800,tiled,1024,0.0024620924014946257,0,CFG_LL_TLB,dTLB-load-misses,45593737
22,1024,64,800,tiled,1024,0.0024620924014946257,0,CFG_LL_TLB,page-faults,0
23,1024,64,800,tiled,1024,0.0024620924014946257,0,CFG_LL_TLB,task-clock,2007814204
24,1024,64,800,tiled,1024,0.001,1,CFG_LL_TLB,L1-dcache-loads,2674233687
25,1024,64,800,tiled,1024,0.001,1,CFG_LL_TLB,cache-misses,16857232
26,1024,64,800,tiled,1024,0.001,1,CFG_LL_TLB,cache-references,102885263
27,1024,64,800,tiled,1024,0.001,1,CFG_LL_TLB,context-switches,0
28,1024,64,800,tiled,1024,0.001,1,CFG_LL_TLB,cpu-migrations,0
29,1024,64,800,tiled,1024,0.001,1,CFG_LL_TLB,dTLB-load-misses,47892367
30,1024,64,800,tiled,1024,0.001,1,CFG_LL_TLB,page-faults,0
31,1024,64,800,tiled,1024,0.001,1,CFG_LL_TLB,task-clock,1798744034
32,1024,64,800,tiled,1024,0.001,0,CFG_LL_TLB,L1-dcache-loads,2674239486
33,1024,64,800,tiled,1024,0.001,0,CFG_LL_TLB,cache-misses,17183867
34,1024,64,800,tiled,1024,0.001,0,CFG_LL_TLB,cache-references,104620441
35,1024,64,800,tiled,1024,0.001,0,CFG_LL_TLB,context-switches,0
36,1024,64,800,tiled,1024,0.001,0,CFG_LL_TLB,cpu-migrations,0
37,1024,64,800,tiled,1024,0.001,0,CFG_LL_TLB,dTLB-load-misses,47066898
38,1024,64,800,tiled,1024,0.001,0,CFG_LL_TLB,page-faults,0
39,1024,64,800,tiled,1024,0.001,0,CFG_LL_TLB,task-clock,1771691080
40,1024,64,800,tiled,1024,0.004489251258218608,0,CFG_LL_TLB,L1-dcache-loads,2674064645
41,1024,64,800,tiled,1024,0.004489251258218608,0,CFG_LL_TLB,cache-misses,20106675
42,1024,64,800,tiled,1024,0.004489251258218608,0,CFG_LL_TLB,cache-references,104855831
43,1024,64,800,tiled,1024,0.004489251258218608,0,CFG_LL_TLB,context-switches,0
44,1024,64,800,tiled,1024,0.004489251258218608,0,CFG_LL_TLB,cpu-migrations,0
45,1024,64,800,tiled,1024,0.004489251258218608,0,CFG_LL_TLB,dTLB-load-misses,49987672
46,1024,64,800,tiled,1024,0.004489251258218608,0,CFG_LL_TLB,page-faults,0
47,1024,64,800,tiled,1024,0.004489251258218608,0,CFG_LL_TLB,task-clock,1911778204
48,1024,64,800,tiled,1024,0.06700187503509587,0,CFG_LL_TLB,L1-dcache-loads,2674252594
49,1024,64,800,tiled,1024,0.06700187503509587,0,CFG_LL_TLB,cache-misses,11567073
50,1024,64,800,tiled,1024,0.06700187503509587,0,CFG_LL_TLB,cache-references,104162622
51,1024,64,800,tiled,1024,0.06700187503509587,0,CFG_LL_TLB,context-switches,0
52,1024,64,800,tiled,1024,0.06700187503509587,0,CFG_LL_TLB,cpu-migrations,0
53,1024,64,800,tiled,1024,0.06700187503509587,0,CFG_LL_TLB,dTLB-load-misses,36430647
54,1024,64,800,tiled,1024,0.06700187503509587,0,CFG_LL_TLB,page-faults,0
55,1024,64,800,tiled,1024,0.06700187503509587,0,CFG_LL_TLB,task-clock,1561224681
56,1024,64,800,tiled,1024,0.02015337685941733,0,CFG_LL_TLB,L1-dcache-loads,2674204114
57,1024,64,800,tiled,1024,0.02015337685941733,0,CFG_LL_TLB,cache-misses,17144141
58,1024,64,800,tiled,1024,0.02015337685941733,0,CFG_LL_TLB,cache-references,104905861
59,1024,64,800,tiled,1024,0.02015337685941733,0,CFG_LL_TLB,context-switches,0
60,1024,64,800,tiled,1024,0.02015337685941733,0,CFG_LL_TLB,cpu-migrations,0
